transactionDay,accountId,avg(transactionAmount)
22,A38,934.23
22,A39,564.13
22,A4,214.6
22,A41,330.32
22,A44,504.63
22,A46,418.25
22,A48,510.68
22,A8,520.24
23,A1,152.51
23,A10,511.01750000000004
23,A13,804.62
23,A16,419.7
23,A17,753.335
23,A18,270.26
23,A20,217.2
23,A22,668.46
23,A23,400.345
23,A26,682.15
23,A27,786.72
23,A28,355.74
23,A29,273.64
23,A3,13.71
23,A30,561.83
23,A38,281.255
23,A39,577.8100000000001
23,A4,522.17
23,A40,316.05
23,A46,262.97
23,A48,146.1
23,A49,63.91
23,A5,78.915
23,A6,683.55
23,A9,514.6
24,A1,329.63
24,A11,8.28
24,A12,507.34
24,A15,767.2
24,A17,492.775
24,A2,577.67
24,A20,807.6633333333334
24,A22,287.39
24,A23,636.67
24,A25,661.71
24,A27,832.59
24,A28,941.1
24,A29,543.76
24,A3,425.6333333333334
24,A30,591.89
24,A31,723.88
24,A32,381.69
24,A34,877.84
24,A35,641.07
24,A36,112.66
24,A37,763.82
24,A4,707.51
24,A40,858.33
24,A41,304.01
24,A42,580.9066666666666
24,A43,362.56
24,A44,430.48
24,A46,772.85
24,A47,894.095
24,A49,86.11
24,A9,709.62
25,A1,621.24
25,A10,87.32
25,A11,516.175
25,A14,309.33
25,A15,216.16
25,A16,622.5
25,A18,300.36
25,A2,695.5350000000001
25,A26,336.01
25,A27,592.84
25,A31,660.74
25,A33,483.51500000000004
25,A38,705.08
25,A40,284.73
25,A46,885.94
25,A48,402.8
25,A49,315.35
25,A5,716.41
25,A6,445.975
25,A8,495.57
25,A9,772.53
26,A1,337.49
26,A10,214.27
26,A12,925.9
26,A13,696.11
26,A14,734.97
26,A15,502.395
26,A16,402.91
26,A17,963.375
26,A18,313.14
26,A19,201.63
26,A2,977.2
26,A21,479.995
26,A24,227.08
26,A25,296.395
26,A26,307.88
26,A29,483.085
26,A3,540.02
26,A30,515.11
26,A31,360.28999999999996
26,A32,831.55
26,A33,854.59
26,A34,387.34666666666664
26,A35,825.15
26,A36,757.76
26,A38,266.54333333333335
26,A41,913.75
26,A42,308.68
26,A43,581.54
26,A44,903.72
26,A45,529.265
26,A47,950.51
26,A5,921.92
26,A6,678.71
26,A7,566.92
26,A9,141.36
27,A1,505.46
27,A10,511.64
27,A11,599.16
27,A12,987.85
27,A13,866.5
27,A14,750.2850000000001
27,A15,149.36
27,A16,455.58
27,A17,560.7
27,A19,507.86
27,A22,872.295
27,A24,820.79
27,A25,641.08
27,A29,638.2
27,A3,328.24
27,A30,236.82
27,A32,247.25
27,A33,118.76
27,A35,408.5
27,A36,955.86
27,A38,382.81
27,A39,453.56666666666666
27,A4,645.51
27,A40,463.27
27,A42,610.8266666666667
27,A43,561.76
27,A44,752.905
27,A45,471.83500000000004
27,A46,472.9666666666667
27,A47,566.0333333333333
27,A48,307.05
27,A49,290.14
27,A5,664.34
27,A6,289.9866666666667
27,A7,500.22
27,A8,654.105
27,A9,626.5550000000001
28,A1,520.1
28,A10,908.15
28,A11,817.1
28,A12,498.005
28,A14,397.6366666666667
28,A15,844.04
28,A17,627.62
28,A2,535.5450000000001
28,A20,86.84
28,A22,696.585
28,A23,812.73
28,A24,913.41
28,A26,527.6966666666667
28,A29,169.75
28,A3,692.65
28,A31,844.895
28,A32,600.34
28,A33,869.07
28,A35,828.57
28,A36,951.14
28,A37,728.51
28,A38,694.54
28,A39,201.68
28,A40,940.97
28,A42,504.11749999999995
28,A43,522.1866666666666
28,A44,501.97999999999996
28,A45,359.34
28,A47,427.46000000000004
28,A48,790.07
28,A7,724.11
28,A8,338.11
29,A19,911.74
29,A20,707.38
29,A22,448.8566666666666
29,A25,979.22
29,A27,360.1
29,A30,874.19
29,A32,185.76
29,A33,410.1
29,A42,773.57
29,A6,543.07
29,A7,530.4633333333334
29,A8,39.5
